epsilon sigma
0.0 0.0
0.0014874000278452676 2.8375462153674764
0.004705072474977964 3.514572343486533
0.008549262874557206 4.191211732128767
0.013023838621351133 4.898326191544326
0.016871896415698542 5.605827390436705
0.022599508067385504 6.312168370898625
0.028327119719072452 7.018509351360548
0.036556935785777275 7.692441563665051
0.0454171371996968 8.396848846742879
0.0555187723342048 9.00789722011664
0.06562040746871278 9.6189455934904
0.07697894590288198 10.260082298160665
0.08831814736321025 10.746909951580216
0.09964187924446577 11.110290363999194
0.112849032377829 11.503372368237859
0.12291199356465513 11.805802639110189
0.13548489395603547 12.137547762325386
0.1461666383057717 12.37786767322061
0.15810141856040097 12.617414105162197
